movieid;cast;director;writer;genres
1;Tom Hanks,Tim Allen,Don Rickles,Jim Varney,Wallace Shawn;John Lasseter;;Animation,Comedy,Family
2;Robin Williams,Jonathan Hyde,Kirsten Dunst,Bradley Pierce,Bonnie Hunt;Joe Johnston;;Adventure,Fantasy,Family
3;Walter Matthau,Jack Lemmon,Ann-Margret,Sophia Loren,Daryl Hannah;Howard Deutch;Mark Steven Johnson;Romance,Comedy
4;Whitney Houston,Angela Bassett,Loretta Devine,Lela Rochon,Gregory Hines;Forest Whitaker;;Comedy,Drama,Romance
5;Steve Martin,Diane Keaton,Martin Short,Kimberly Williams-Paisley,George Newbern;Charles Shyer;;Comedy
6;Al Pacino,Robert De Niro,Val Kilmer,Jon Voight,Tom Sizemore;Michael Mann;;Action,Crime,Drama,Thriller
7;Harrison Ford,Julia Ormond,Greg Kinnear,Angie Dickinson,Nancy Marchand;Sydney Pollack;;Comedy,Romance
8;Jonathan Taylor Thomas,Brad Renfro,Rachael Leigh Cook,Michael McShane,Amy Wright;Peter Hewitt;;Action,Adventure,Drama,Family
9;Jean-Claude Van Damme,Powers Boothe,Dorian Harewood,Raymond J. Barry,Ross Malinger;Peter Hyams;;Action,Adventure,Thriller
10;Pierce Brosnan,Sean Bean,Izabella Scorupco,Famke Janssen,Joe Don Baker;Martin Campbell;;Adventure,Action,Thriller
11;Michael Douglas,Annette Bening,Michael J. Fox,Martin Sheen,Anna Deavere Smith;Rob Reiner;;Comedy,Drama,Romance
12;Leslie Nielsen,Mel Brooks,Amy Yasbeck,Peter MacNicol,Lysette Anthony;Mel Brooks;;Comedy,Horror
13;Kevin Bacon,Bob Hoskins,Bridget Fonda,Jim Cummings,Phil Collins;Simon Wells;David Steven Cohen,Elana Lesser,Cliff Ruby,Roger S.H. Schulman;Family,Animation,Adventure
14;Anthony Hopkins,Joan Allen,Powers Boothe,Ed Harris,Bob Hoskins;Oliver Stone;;History,Drama
15;Geena Davis,Matthew Modine,Frank Langella,Maury Chaykin,Patrick Malahide;Renny Harlin;;Action,Adventure
16;Robert De Niro,Sharon Stone,Joe Pesci,James Woods,Don Rickles;Martin Scorsese;;Drama,Crime
17;Kate Winslet,Emma Thompson,Hugh Grant,Tom Wilkinson,Alan Rickman;Ang Lee;;Drama,Romance
18;Tim Roth,Antonio Banderas,Jennifer Beals,Madonna,Marisa Tomei;Allison Anders,Alexandre Rockwell,Robert Rodriguez,Quentin Tarantino;Allison Anders,Alexandre Rockwell,Robert Rodriguez,Quentin Tarantino;Comedy
19;Jim Carrey,Ian McNeice,Simon Callow,Maynard Eziashi,Bob Gunton;Steve Oedekerk;;Comedy
20;Wesley Snipes,Woody Harrelson,Jennifer Lopez,Robert Blake,Chris Cooper;Joseph Ruben;;Action,Comedy,Crime
21;John Travolta,Gene Hackman,Rene Russo,Danny DeVito,Dennis Farina;Barry Sonnenfeld;;Comedy,Thriller,Crime
22;Sigourney Weaver,Holly Hunter,Will Patton,William McNamara,Harry Connick Jr.;Jon Amiel;;Drama,Thriller
23;Sylvester Stallone,Antonio Banderas,Julianne Moore,Anatoli Davydov,Muse Watson;Richard Donner;;Action,Adventure,Crime,Thriller
24;Mary Steenburgen,Sean Patrick Flanery,Lance Henriksen,Jeff Goldblum,Brandon Smith;Victor Salva;;Drama,Fantasy,Sci-Fi,Thriller
25;Nicolas Cage,Elisabeth Shue,Julian Sands,Richard Lewis,Steven Weber;Mike Figgis;;Drama,Romance
26;Laurence Fishburne,Irène Jacob,Kenneth Branagh,Nathaniel Parker,Indra Ové;Oliver Parker;William Shakespeare;Drama
27;Christina Ricci,Rosie O'Donnell,Thora Birch,Melanie Griffith,Gaby Hoffmann;Lesli Linka Glatter;;Comedy,Drama,Family
28;Amanda Root,Ciarán Hinds,Susan Fleetwood,Fiona Shaw,John Woodvine;Roger Michell;;Drama,Romance
29;Ron Perlman,Dominique Pinon,Judith Vittet,Daniel Emilfork,Jean-Claude Dreyfus;Jean-Pierre Jeunet,Marc Caro;;Fantasy,Sci-Fi,Adventure
30;Gong Li,Li Bao-Tian,Wang Xiaoxiao,Li Xuejian,Chun Sung;Zhang Yimou;Bi Feiyu;Drama,Crime
31;Michelle Pfeiffer,George Dzundza,Courtney B. Vance,Robin Bartlett,John Neville;John N. Smith;;Drama,Crime
